Latitude,Longitude,Year-Month,Temperature
53.75,8.5,2006-11,283.349
53.75,8.5,2006-12,281.237
53.75,8.5,2007-01,279.763
53.75,8.5,2007-02,278.318
53.75,8.5,2007-03,280.204
53.75,8.5,2007-04,284.068
53.75,8.5,2007-05,287.557
53.75,8.5,2007-06,290.762
53.75,8.5,2007-07,291.548
53.75,8.5,2007-08,292.038
53.75,8.5,2007-09,288.800
53.75,8.5,2007-10,285.820
53.75,8.5,2007-11,281.445
53.75,8.5,2007-12,278.653
53.75,8.5,2008-01,277.419
53.75,8.5,2008-02,277.788
53.75,8.5,2008-03,279.134
53.75,8.5,2008-04,281.763
53.75,8.5,2008-05,287.561
53.75,8.5,2008-06,290.013
53.75,8.5,2008-07,291.637
53.75,8.5,2008-08,291.932
53.75,8.5,2008-09,289.446
53.75,8.5,2008-10,285.627
53.75,8.5,2008-11,281.736
53.75,8.5,2008-12,278.242
53.75,8.5,2009-01,275.705
53.75,8.5,2009-02,275.312
53.75,8.5,2009-03,278.198
53.75,8.5,2009-04,283.184
53.75,8.5,2009-05,286.567
53.75,8.5,2009-06,288.859
53.75,8.5,2009-07,292.421
53.75,8.5,2009-08,292.739
53.75,8.5,2009-09,289.735
53.75,8.5,2009-10,284.579
53.75,8.5,2009-11,282.431
53.75,8.5,2009-12,279.277
53.75,8.5,2010-01,275.869
53.75,8.5,2010-02,274.081
53.75,8.5,2010-03,276.298
53.75,8.5,2010-04,281.904
53.75,8.5,2010-05,284.377
53.75,8.5,2010-06,288.553
53.75,8.5,2010-07,293.703
53.75,8.5,2010-08,292.487
53.75,8.5,2010-09,288.841
53.75,8.5,2010-10,285.032
53.75,8.5,2010-11,281.531
53.5,7.0,1993-01,277.437
53.5,7.0,1993-02,277.460
53.5,7.0,1993-03,277.891
53.5,7.0,1993-04,280.607
53.5,7.0,1993-05,284.833
53.5,7.0,1993-06,288.255
53.5,7.0,1993-07,290.284
53.5,7.0,1993-08,290.250
53.5,7.0,1993-09,288.193
53.5,7.0,1993-10,285.249
53.5,7.0,1993-11,281.337
53.5,7.0,1993-12,277.912
53.5,7.0,1994-01,277.440
53.5,7.0,1994-02,276.320
53.5,7.0,1994-03,277.563
53.5,7.0,1994-04,280.975
53.5,7.0,1994-05,284.523
53.5,7.0,1994-06,287.638
53.5,7.0,1994-07,293.370
53.5,7.0,1994-08,293.256
53.5,7.0,1994-09,288.989
53.5,7.0,1994-10,285.427
53.5,7.0,1994-11,282.299
53.5,7.0,1994-12,280.859
53.5,7.0,1995-01,278.366
53.5,7.0,1995-02,278.322
53.5,7.0,1995-03,278.829
53.5,7.0,1995-04,281.116
53.5,7.0,1995-05,284.373
53.5,7.0,1995-06,287.779
53.5,7.0,1995-07,291.940
53.5,7.0,1995-08,293.677
53.5,7.0,1995-09,289.680
53.5,7.0,1995-10,286.428
53.5,7.0,1995-11,282.871
53.5,7.0,1995-12,278.944
53.5,7.0,1996-01,276.185
53.5,7.0,1996-02,273.446
53.5,7.0,1996-03,274.320
53.5,7.0,1996-04,278.429
53.5,7.0,1996-05,281.901
53.5,7.0,1996-06,286.358
53.5,7.0,1996-07,289.463
53.5,7.0,1996-08,291.685
53.5,7.0,1996-09,289.074
53.5,7.0,1996-10,285.787
53.5,7.0,1996-11,282.846
53.5,7.0,1996-12,278.668
53.5,7.0,1997-01,275.198
53.5,7.0,1997-02,275.545
53.5,7.0,1997-03,278.621
53.5,7.0,1997-04,281.014
53.5,7.0,1997-05,283.818
53.5,7.0,1997-06,288.179
53.5,7.0,1997-07,291.685
53.5,7.0,1997-08,294.121
53.5,7.0,1997-09,290.657
53.5,7.0,1997-10,286.012
53.5,7.0,1997-11,281.548
53.5,7.0,1997-12,279.059
53.5,7.0,1998-01,278.182
53.5,7.0,1998-02,277.117
53.5,7.0,1998-03,279.226
53.5,7.0,1998-04,281.708
53.5,7.0,1998-05,285.211
53.5,7.0,1998-06,288.783
53.5,7.0,1998-07,290.476
53.5,7.0,1998-08,291.485
53.5,7.0,1998-09,288.883
53.5,7.0,1998-10,285.194
53.5,7.0,1998-11,281.705
53.5,7.0,1998-12,278.408
53.5,7.0,1999-01,277.793
53.5,7.0,1999-02,277.041
53.5,7.0,1999-03,278.711
53.5,7.0,1999-04,282.141
53.5,7.0,1999-05,285.437
53.5,7.0,1999-06,289.249
53.5,7.0,1999-07,291.750
53.5,7.0,1999-08,292.349
53.5,7.0,1999-09,291.570
53.5,7.0,1999-10,286.980
53.5,7.0,1999-11,282.696
53.5,7.0,1999-12,279.765
53.5,7.0,2000-01,277.663
53.5,7.0,2000-02,278.130
53.5,7.0,2000-03,279.276
53.5,7.0,2000-04,281.701
53.5,7.0,2000-05,285.967
53.5,7.0,2000-06,288.649
53.5,7.0,2000-07,289.580
53.5,7.0,2000-08,291.753
53.5,7.0,2000-09,289.992
53.5,7.0,2000-10,286.509
53.5,7.0,2000-11,282.101
53.5,7.0,2000-12,280.407
53.5,7.0,2001-01,277.734
53.5,7.0,2001-02,277.150
53.5,7.0,2001-03,277.638
53.5,7.0,2001-04,280.207
53.5,7.0,2001-05,284.076
53.5,7.0,2001-06,287.838
53.5,7.0,2001-07,291.667
53.5,7.0,2001-08,292.615
53.5,7.0,2001-09,289.442
53.5,7.0,2001-10,287.327
53.5,7.0,2001-11,283.883
53.5,7.0,2001-12,280.412
53.5,7.0,2002-01,277.415
53.5,7.0,2002-02,279.002
53.5,7.0,2002-03,279.508
53.5,7.0,2002-04,281.939
53.5,7.0,2002-05,284.922
53.5,7.0,2002-06,289.249
53.5,7.0,2002-07,290.775
53.5,7.0,2002-08,293.504
53.5,7.0,2002-09,291.515
53.5,7.0,2002-10,286.258
53.5,7.0,2002-11,282.314
53.5,7.0,2002-12,278.758
53.5,7.0,2003-01,276.595
53.5,7.0,2003-02,275.802
53.5,7.0,2003-03,277.800
53.5,7.0,2003-04,281.088
53.5,7.0,2003-05,285.267
53.5,7.0,2003-06,290.088
53.5,7.0,2003-07,292.583
53.5,7.0,2003-08,294.197
53.5,7.0,2003-09,290.682
53.5,7.0,2003-10,286.019
53.5,7.0,2003-11,281.027
53.5,7.0,2003-12,279.201
53.5,7.0,2004-01,277.255
53.5,7.0,2004-02,277.835
53.5,7.0,2004-03,278.216
53.5,7.0,2004-04,282.090
53.5,7.0,2004-05,285.077
53.5,7.0,2004-06,288.912
53.5,7.0,2004-07,290.901
53.5,7.0,2004-08,293.552
53.5,7.0,2004-09,289.793
53.5,7.0,2004-10,285.724
53.5,7.0,2004-11,282.555
53.5,7.0,2004-12,279.773
53.5,7.0,2005-01,278.739
53.5,7.0,2005-02,276.658
53.5,7.0,2005-03,276.879
53.5,7.0,2005-04,281.288
53.5,7.0,2005-05,284.550
53.5,7.0,2005-06,288.111
53.5,7.0,2005-07,291.987
53.5,7.0,2005-08,290.832
53.5,7.0,2005-09,290.312
53.5,7.0,2005-10,287.116
53.5,7.0,2005-11,284.329
53.5,7.0,2005-12,280.485
53.5,7.0,2006-01,277.039
53.5,7.0,2006-02,275.749
53.5,7.0,2006-03,275.914
53.5,7.0,2006-04,280.391
53.5,7.0,2006-05,284.402
53.5,7.0,2006-06,288.339
53.5,7.0,2006-07,293.752
53.5,7.0,2006-08,293.082
53.5,7.0,2006-09,290.786
53.5,7.0,2006-10,288.488
53.5,7.0,2006-11,284.312
53.5,7.0,2006-12,281.510
53.5,7.0,2007-01,280.124
53.5,7.0,2007-02,278.790
53.5,7.0,2007-03,280.351
53.5,7.0,2007-04,283.826
53.5,7.0,2007-05,286.551
53.5,7.0,2007-06,290.219
53.5,7.0,2007-07,291.359
53.5,7.0,2007-08,291.864
